index,smiles_solvent,smiles_solute,DGsolv,comment,can_smiles_solvent,can_smiles_solute,predicted,total_atoms_solute,total_atoms_solvent,shap_values
659,CCCCCCCCO,CC(C)c1ccccc1O,0,logP_setA,CCCCCCCCO,CC(C)c1ccccc1O,-9.362801,10,9,"[-1.11078685 11.49725541 -1.11078685  5.23571294 -0.06500988 -1.99642768
 -2.62578993  1.13237057 -7.82844316 -1.85121319  0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
660,O,CC(C)c1ccccc1O,0,logP_setA,O,CC(C)c1ccccc1O,-5.8537726,10,1,"[ -1.77434552  18.46228187  -1.77434552   8.42274436   0.11022512
  -2.86957128  -3.83110635   2.18769156 -11.02696833  -3.12069822
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.        ]"
661,CCCCCC,Cc1cccc(O)c1,0,logP_setA,CCCCCC,Cc1cccc(O)c1,-5.520593,8,6,"[ 0.9928644  -1.88914699  0.91042187 -1.33269746  0.27636441  2.99509203
  0.47816991  2.68802014  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
662,Cc1ccccc1,Cc1cccc(O)c1,0,logP_setA,Cc1ccccc1,Cc1cccc(O)c1,-6.7500434,8,7,"[ 0.79919038 -1.0360623   1.64592437 -0.40063384 -0.2214101   0.81580604
  0.4108707   1.87595217  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
663,Clc1ccccc1,Cc1cccc(O)c1,0,logP_setA,Clc1ccccc1,Cc1cccc(O)c1,-6.6278224,8,7,"[ 0.8954263  -0.87560991  1.66776197 -0.36516945 -0.15724444  0.47072195
  0.52115621  1.85481446  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
664,C(Cl)Cl,Cc1cccc(O)c1,0,logP_setA,ClCCl,Cc1cccc(O)c1,-7.1808257,8,3,"[ 0.98988427 -0.74262144  1.60486123 -0.25650931 -0.28112618  0.0663618
  0.45807608  1.61992873  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
665,CC(C)(C)OC,Cc1cccc(O)c1,0,logP_setA,COC(C)(C)C,Cc1cccc(O)c1,-8.706543,8,6,"[ 0.50007715 -0.55762667  1.18222971 -0.21879869 -0.40018135  0.19582941
  0.33432727  0.89728123  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
666,CC(OC(C)C)=O,Cc1cccc(O)c1,0,logP_setA,CC(=O)OC(C)C,Cc1cccc(O)c1,-8.716494,8,7,"[ 0.02263309 -0.55028331  1.42455223  0.28913949 -0.56885328 -0.15405331
  0.29638506  1.16366645  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
667,c1ccc(cc1)CO,Cc1cccc(O)c1,0,logP_setA,OCc1ccccc1,Cc1cccc(O)c1,-8.421583,8,8,"[ 0.6248249   0.35613298  1.18164238  0.32980901 -0.53859434 -0.71275024
  0.33023234  0.64679993  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
668,C1CCCCC1O,Cc1cccc(O)c1,0,logP_setA,OC1CCCCC1,Cc1cccc(O)c1,-8.851968,8,7,"[ 0.42073989 -0.85413177  0.6931097  -0.7520379  -0.05159982  0.38570986
  0.53471919  1.41120263  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]"
