DGsolv,comment,can_smiles_solvent,can_smiles_solute
0,for_solvent_tsne,COCC(C)=O,O
0,for_solvent_tsne,O=C(OCc1ccccc1)c1ccccc1,O
0,for_solvent_tsne,c1cnoc1,O
0,for_solvent_tsne,O=C(O)C(F)(F)F,O
0,for_solvent_tsne,CCCCCNCCCCC,O
0,for_solvent_tsne,CCCCOS(=O)(=O)OCCCC,O
0,for_solvent_tsne,CCC(=O)CC,O
0,for_solvent_tsne,CC(C)C(C)O,O
0,for_solvent_tsne,CCCCC(C)(C)C,O
0,for_solvent_tsne,CCCCCCCCc1ccccc1,O
0,for_solvent_tsne,CCOc1ccccc1,O
0,for_solvent_tsne,CCOC(=O)/C=C\C(=O)OCC,O
0,for_solvent_tsne,CCCCCCCOC=O,O
0,for_solvent_tsne,C=CC(C)CCC,O
0,for_solvent_tsne,Cc1ccc(C)s1,O
0,for_solvent_tsne,O=C=NCCCCCCN=C=O,O
0,for_solvent_tsne,COC(=O)CC(=O)OC,O
0,for_solvent_tsne,CCCCC(CC)C(=O)O,O
0,for_solvent_tsne,COC(=O)CCC(=O)OC,O
0,for_solvent_tsne,CC(O)COC(C)COC(C)COC(C)CO,O
0,for_solvent_tsne,C1CC1,O
0,for_solvent_tsne,CC1CCS(=O)(=O)C1,O
0,for_solvent_tsne,CCCCC(C)C(C)C,O
0,for_solvent_tsne,CCCCCC1CCCCC1,O
0,for_solvent_tsne,C=CCCCCCCCCCCCCCC,O
0,for_solvent_tsne,c1ccc2c(c1)CCS2,O
0,for_solvent_tsne,CCCCCCCCCCCCO,O
0,for_solvent_tsne,ClC=C(Cl)Cl,O
0,for_solvent_tsne,CCC[N+](=O)[O-],O
0,for_solvent_tsne,Cc1ccc(C)cc1,O
0,for_solvent_tsne,C=CC(C)CC,O
0,for_solvent_tsne,CC(O)COC(C)C,O
0,for_solvent_tsne,C=CC(=O)OC(C)C,O
0,for_solvent_tsne,CCCCCCOC=O,O
0,for_solvent_tsne,OOCCCCc1ccccc1,O
0,for_solvent_tsne,ClB(Cl)Cl,O
0,for_solvent_tsne,Nc1ccccc1,O
0,for_solvent_tsne,O=C1CCCCC1,O
0,for_solvent_tsne,CCCCCCCCCCC(C)CO,O
0,for_solvent_tsne,C[C@@H]1CCC[C@H](O)C1,O
0,for_solvent_tsne,CCOC,O
0,for_solvent_tsne,C[C@H]1CCC[C@H](C)C1,O
0,for_solvent_tsne,Cc1cccc2cccnc12,O
0,for_solvent_tsne,CC(=O)OC(C)(C)C,O
0,for_solvent_tsne,C=CC(=O)OCC(C)O,O
0,for_solvent_tsne,CCI,O
0,for_solvent_tsne,ClCCCCCCl,O
0,for_solvent_tsne,Cl/C=C/Cl,O
0,for_solvent_tsne,CCCCCCOC(=O)CCCCC(=O)OCCCCCC,O
0,for_solvent_tsne,CCCCCCCC(C)O,O
0,for_solvent_tsne,CCCCCCCCCCCCCCCc1ccccc1,O
0,for_solvent_tsne,CC(O)CN,O
0,for_solvent_tsne,C/C=C/CCCCCCCCC,O
0,for_solvent_tsne,COCCOCCOCCOC,O
0,for_solvent_tsne,CN(CCO)CCO,O
0,for_solvent_tsne,C#CCC,O
0,for_solvent_tsne,CCCCOC(=O)c1ccccc1C(=O)OCCCC,O
0,for_solvent_tsne,CC(C)C(=O)C(C)C,O
0,for_solvent_tsne,CCCCCCCCOC=O,O
0,for_solvent_tsne,CC1[C@H](C)CC[C@H]1C,O
0,for_solvent_tsne,C=Cc1ccc(CC)cc1,O
0,for_solvent_tsne,CN(C)CCCN,O
0,for_solvent_tsne,CCCCCCCCCCCCCC(=O)OC,O
0,for_solvent_tsne,FC=CC(F)(F)F,O
0,for_solvent_tsne,CCCOC(=O)c1ccccc1,O
0,for_solvent_tsne,O=[N+]([O-])OCCO[N+](=O)[O-],O
0,for_solvent_tsne,C=C=O,O
